Source Node,Source Tier,Target Node,Target Tier,Edge Type
Nonferrous Metal Die-Casting Foundries ,Tier 3,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",Tier 2,Metal Processing
Nonferrous Metal Die-Casting Foundries ,Tier 3,All Other Industrial Machinery Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal Die-Casting Foundries ,Tier 3,Commercial and Service Industry Machinery Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal Die-Casting Foundries ,Tier 3,Rolling Mill and Other Metalworking Machinery Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal Die-Casting Foundries ,Tier 3,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",Tier 2,Metal Processing
Nonferrous Metal Die-Casting Foundries ,Tier 3,Packaging Machinery Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal Die-Casting Foundries ,Tier 3,All Other Miscellaneous General Purpose Machinery Manufacturing ,Tier 2,Metal Processing
Nonferrous Metal Die-Casting Foundries ,Tier 3,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Tier 2,Metal Processing
Nonferrous Metal Die-Casting Foundries ,Tier 3,Other Communication and Energy Wire Manufacturing ,Tier 2,Metal Processing
Aluminum Foundries (except Die-Casting) ,Tier 3,Prefabricated Wood Building Manufacturing ,Tier 2,Metal Processing
Aluminum Foundries (except Die-Casting) ,Tier 3,Prefabricated Metal Building and Component Manufacturing ,Tier 2,Metal Processing
Aluminum Foundries (except Die-Casting) ,Tier 3,Fabricated Structural Metal Manufacturing ,Tier 2,Metal Processing
Aluminum Foundries (except Die-Casting) ,Tier 3,Other Fabricated Wire Product Manufacturing ,Tier 2,Metal Processing
Aluminum Foundries (except Die-Casting) ,Tier 3,Fabricated Pipe and Pipe Fitting Manufacturing ,Tier 2,Metal Processing
Aluminum Foundries (except Die-Casting) ,Tier 3,All Other Miscellaneous Fabricated Metal Product Manufacturing ,Tier 2,Metal Processing
Aluminum Foundries (except Die-Casting) ,Tier 3,Farm Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Aluminum Foundries (except Die-Casting) ,Tier 3,Construction Machinery Manufacturing,Tier 2,Metal Processing
Aluminum Foundries (except Die-Casting) ,Tier 3,Mining Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Aluminum Foundries (except Die-Casting) ,Tier 3,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Aluminum Foundries (except Die-Casting) ,Tier 3,Food Product Machinery Manufacturing ,Tier 2,Metal Processing
Aluminum Foundries (except Die-Casting) ,Tier 3,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",Tier 2,Metal Processing
Aluminum Foundries (except Die-Casting) ,Tier 3,All Other Industrial Machinery Manufacturing ,Tier 2,Metal Processing
Aluminum Foundries (except Die-Casting) ,Tier 3,Commercial and Service Industry Machinery Manufacturing ,Tier 2,Metal Processing
Aluminum Foundries (except Die-Casting) ,Tier 3,Rolling Mill and Other Metalworking Machinery Manufacturing ,Tier 2,Metal Processing
Aluminum Foundries (except Die-Casting) ,Tier 3,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",Tier 2,Metal Processing
Aluminum Foundries (except Die-Casting) ,Tier 3,Packaging Machinery Manufacturing ,Tier 2,Metal Processing
Aluminum Foundries (except Die-Casting) ,Tier 3,All Other Miscellaneous General Purpose Machinery Manufacturing ,Tier 2,Metal Processing
Aluminum Foundries (except Die-Casting) ,Tier 3,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Tier 2,Metal Processing
Aluminum Foundries (except Die-Casting) ,Tier 3,Other Communication and Energy Wire Manufacturing ,Tier 2,Metal Processing
Other Nonferrous Metal Foundries (except Die-Casting) ,Tier 3,Prefabricated Wood Building Manufacturing ,Tier 2,Metal Processing
Other Nonferrous Metal Foundries (except Die-Casting) ,Tier 3,Prefabricated Metal Building and Component Manufacturing ,Tier 2,Metal Processing
Other Nonferrous Metal Foundries (except Die-Casting) ,Tier 3,Fabricated Structural Metal Manufacturing ,Tier 2,Metal Processing
Other Nonferrous Metal Foundries (except Die-Casting) ,Tier 3,Other Fabricated Wire Product Manufacturing ,Tier 2,Metal Processing
Other Nonferrous Metal Foundries (except Die-Casting) ,Tier 3,Fabricated Pipe and Pipe Fitting Manufacturing ,Tier 2,Metal Processing
Other Nonferrous Metal Foundries (except Die-Casting) ,Tier 3,All Other Miscellaneous Fabricated Metal Product Manufacturing ,Tier 2,Metal Processing
Other Nonferrous Metal Foundries (except Die-Casting) ,Tier 3,Farm Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Other Nonferrous Metal Foundries (except Die-Casting) ,Tier 3,Construction Machinery Manufacturing,Tier 2,Metal Processing
Other Nonferrous Metal Foundries (except Die-Casting) ,Tier 3,Mining Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Other Nonferrous Metal Foundries (except Die-Casting) ,Tier 3,Oil and Gas Field Machinery and Equipment Manufacturing ,Tier 2,Metal Processing
Other Nonferrous Metal Foundries (except Die-Casting) ,Tier 3,Food Product Machinery Manufacturing ,Tier 2,Metal Processing
Other Nonferrous Metal Foundries (except Die-Casting) ,Tier 3,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",Tier 2,Metal Processing
Other Nonferrous Metal Foundries (except Die-Casting) ,Tier 3,All Other Industrial Machinery Manufacturing ,Tier 2,Metal Processing
Other Nonferrous Metal Foundries (except Die-Casting) ,Tier 3,Commercial and Service Industry Machinery Manufacturing ,Tier 2,Metal Processing
Other Nonferrous Metal Foundries (except Die-Casting) ,Tier 3,Rolling Mill and Other Metalworking Machinery Manufacturing ,Tier 2,Metal Processing
Other Nonferrous Metal Foundries (except Die-Casting) ,Tier 3,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",Tier 2,Metal Processing
Other Nonferrous Metal Foundries (except Die-Casting) ,Tier 3,Packaging Machinery Manufacturing ,Tier 2,Metal Processing
Other Nonferrous Metal Foundries (except Die-Casting) ,Tier 3,All Other Miscellaneous General Purpose Machinery Manufacturing ,Tier 2,Metal Processing
Other Nonferrous Metal Foundries (except Die-Casting) ,Tier 3,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Tier 2,Metal Processing
Other Nonferrous Metal Foundries (except Die-Casting) ,Tier 3,Other Communication and Energy Wire Manufacturing ,Tier 2,Metal Processing
Semiconductor Machinery Manufacturing ,Tier 3,Electronic Computer Manufacturing ,Tier 2,Component Supply
Semiconductor Machinery Manufacturing ,Tier 3,Computer Storage Device Manufacturing ,Tier 2,Component Supply
Semiconductor Machinery Manufacturing ,Tier 3,Computer Terminal and Other Computer Peripheral Equipment Manufacturing ,Tier 2,Component Supply
Semiconductor Machinery Manufacturing ,Tier 3,Electronic Connector Manufacturing ,Tier 2,Component Supply
Semiconductor Machinery Manufacturing ,Tier 3,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,Tier 2,Component Supply
Semiconductor Machinery Manufacturing ,Tier 3,Other Electronic Component Manufacturing ,Tier 2,Component Supply
Semiconductor and Related Device Manufacturing ,Tier 3,Electronic Computer Manufacturing ,Tier 2,Component Supply
Semiconductor and Related Device Manufacturing ,Tier 3,Computer Storage Device Manufacturing ,Tier 2,Component Supply
Semiconductor and Related Device Manufacturing ,Tier 3,Computer Terminal and Other Computer Peripheral Equipment Manufacturing ,Tier 2,Component Supply
Semiconductor and Related Device Manufacturing ,Tier 3,Electronic Connector Manufacturing ,Tier 2,Component Supply
Semiconductor and Related Device Manufacturing ,Tier 3,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,Tier 2,Component Supply
Semiconductor and Related Device Manufacturing ,Tier 3,Other Electronic Component Manufacturing ,Tier 2,Component Supply
Semiconductor and Other Electronic Component Manufacturing,Tier 3,Electronic Computer Manufacturing ,Tier 2,Component Supply
Semiconductor and Other Electronic Component Manufacturing,Tier 3,Computer Storage Device Manufacturing ,Tier 2,Component Supply
Semiconductor and Other Electronic Component Manufacturing,Tier 3,Computer Terminal and Other Computer Peripheral Equipment Manufacturing ,Tier 2,Component Supply
Semiconductor and Other Electronic Component Manufacturing,Tier 3,Electronic Connector Manufacturing ,Tier 2,Component Supply
Semiconductor and Other Electronic Component Manufacturing,Tier 3,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,Tier 2,Component Supply
Semiconductor and Other Electronic Component Manufacturing,Tier 3,Other Electronic Component Manufacturing ,Tier 2,Component Supply
Fats and Oils Refining and Blending ,Tier 2,Dog and Cat Food Manufacturing ,Tier 1,Ingredient Flow
Fats and Oils Refining and Blending ,Tier 2,Other Animal Food Manufacturing ,Tier 1,Ingredient Flow
Fats and Oils Refining and Blending ,Tier 2,Frozen Specialty Food Manufacturing ,Tier 1,Ingredient Flow
Fats and Oils Refining and Blending ,Tier 2,Dried and Dehydrated Food Manufacturing ,Tier 1,Ingredient Flow
Fats and Oils Refining and Blending ,Tier 2,Seafood Product Preparation and Packaging,Tier 1,Ingredient Flow
Fats and Oils Refining and Blending ,Tier 2,Other Snack Food Manufacturing ,Tier 1,Ingredient Flow
Fats and Oils Refining and Blending ,Tier 2,Perishable Prepared Food Manufacturing ,Tier 1,Ingredient Flow
Fats and Oils Refining and Blending ,Tier 2,All Other Miscellaneous Food Manufacturing ,Tier 1,Ingredient Flow
Narrow Fabric Mills and Schiffli Machine Embroidery,Tier 2,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",Tier 1,Industrial Parts
Narrow Fabric Mills and Schiffli Machine Embroidery,Tier 2,Automobile and Light Duty Motor Vehicle Manufacturing ,Tier 1,Industrial Parts
Narrow Fabric Mills and Schiffli Machine Embroidery,Tier 2,All Other Transportation Equipment Manufacturing ,Tier 1,Industrial Parts
Petroleum Refineries,Tier 2,Dog and Cat Food Manufacturing ,Tier 1,Ingredient Flow
Petroleum Refineries,Tier 2,Other Animal Food Manufacturing ,Tier 1,Ingredient Flow
Petroleum Refineries,Tier 2,Frozen Specialty Food Manufacturing ,Tier 1,Ingredient Flow
Petroleum Refineries,Tier 2,Dried and Dehydrated Food Manufacturing ,Tier 1,Ingredient Flow
Petroleum Refineries,Tier 2,Seafood Product Preparation and Packaging,Tier 1,Ingredient Flow
Petroleum Refineries,Tier 2,Other Snack Food Manufacturing ,Tier 1,Ingredient Flow
Petroleum Refineries,Tier 2,Perishable Prepared Food Manufacturing ,Tier 1,Ingredient Flow
Petroleum Refineries,Tier 2,All Other Miscellaneous Food Manufacturing ,Tier 1,Ingredient Flow
Petroleum Lubricating Oil and Grease Manufacturing ,Tier 2,Dog and Cat Food Manufacturing ,Tier 1,Ingredient Flow
Petroleum Lubricating Oil and Grease Manufacturing ,Tier 2,Other Animal Food Manufacturing ,Tier 1,Ingredient Flow
Petroleum Lubricating Oil and Grease Manufacturing ,Tier 2,Frozen Specialty Food Manufacturing ,Tier 1,Ingredient Flow
Petroleum Lubricating Oil and Grease Manufacturing ,Tier 2,Dried and Dehydrated Food Manufacturing ,Tier 1,Ingredient Flow
Petroleum Lubricating Oil and Grease Manufacturing ,Tier 2,Seafood Product Preparation and Packaging,Tier 1,Ingredient Flow
Petroleum Lubricating Oil and Grease Manufacturing ,Tier 2,Other Snack Food Manufacturing ,Tier 1,Ingredient Flow
Petroleum Lubricating Oil and Grease Manufacturing ,Tier 2,Perishable Prepared Food Manufacturing ,Tier 1,Ingredient Flow
Petroleum Lubricating Oil and Grease Manufacturing ,Tier 2,All Other Miscellaneous Food Manufacturing ,Tier 1,Ingredient Flow
Plastics Material and Resin Manufacturing ,Tier 2,Dog and Cat Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Material and Resin Manufacturing ,Tier 2,Other Animal Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Material and Resin Manufacturing ,Tier 2,Frozen Specialty Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Material and Resin Manufacturing ,Tier 2,Dried and Dehydrated Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Material and Resin Manufacturing ,Tier 2,Seafood Product Preparation and Packaging,Tier 1,Packaging / Component Supply
Plastics Material and Resin Manufacturing ,Tier 2,Other Snack Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Material and Resin Manufacturing ,Tier 2,Perishable Prepared Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Material and Resin Manufacturing ,Tier 2,All Other Miscellaneous Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Material and Resin Manufacturing ,Tier 2,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",Tier 1,Packaging / Component Supply
Plastics Material and Resin Manufacturing ,Tier 2,Automobile and Light Duty Motor Vehicle Manufacturing ,Tier 1,Packaging / Component Supply
Synthetic Rubber Manufacturing ,Tier 2,Dog and Cat Food Manufacturing ,Tier 1,Packaging / Component Supply
Synthetic Rubber Manufacturing ,Tier 2,Other Animal Food Manufacturing ,Tier 1,Packaging / Component Supply
Synthetic Rubber Manufacturing ,Tier 2,Frozen Specialty Food Manufacturing ,Tier 1,Packaging / Component Supply
Synthetic Rubber Manufacturing ,Tier 2,Dried and Dehydrated Food Manufacturing ,Tier 1,Packaging / Component Supply
Synthetic Rubber Manufacturing ,Tier 2,Seafood Product Preparation and Packaging,Tier 1,Packaging / Component Supply
Synthetic Rubber Manufacturing ,Tier 2,Other Snack Food Manufacturing ,Tier 1,Packaging / Component Supply
Synthetic Rubber Manufacturing ,Tier 2,Perishable Prepared Food Manufacturing ,Tier 1,Packaging / Component Supply
Synthetic Rubber Manufacturing ,Tier 2,All Other Miscellaneous Food Manufacturing ,Tier 1,Packaging / Component Supply
Synthetic Rubber Manufacturing ,Tier 2,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",Tier 1,Packaging / Component Supply
Synthetic Rubber Manufacturing ,Tier 2,Automobile and Light Duty Motor Vehicle Manufacturing ,Tier 1,Packaging / Component Supply
Toilet Preparation Manufacturing,Tier 2,Dog and Cat Food Manufacturing ,Tier 1,Ingredient Flow
Toilet Preparation Manufacturing,Tier 2,Other Animal Food Manufacturing ,Tier 1,Ingredient Flow
Toilet Preparation Manufacturing,Tier 2,Frozen Specialty Food Manufacturing ,Tier 1,Ingredient Flow
Toilet Preparation Manufacturing,Tier 2,Dried and Dehydrated Food Manufacturing ,Tier 1,Ingredient Flow
Toilet Preparation Manufacturing,Tier 2,Seafood Product Preparation and Packaging,Tier 1,Ingredient Flow
Toilet Preparation Manufacturing,Tier 2,Other Snack Food Manufacturing ,Tier 1,Ingredient Flow
Toilet Preparation Manufacturing,Tier 2,Perishable Prepared Food Manufacturing ,Tier 1,Ingredient Flow
Toilet Preparation Manufacturing,Tier 2,All Other Miscellaneous Food Manufacturing ,Tier 1,Ingredient Flow
Plastics Bag and Pouch Manufacturing ,Tier 2,Dog and Cat Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Bag and Pouch Manufacturing ,Tier 2,Other Animal Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Bag and Pouch Manufacturing ,Tier 2,Frozen Specialty Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Bag and Pouch Manufacturing ,Tier 2,Dried and Dehydrated Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Bag and Pouch Manufacturing ,Tier 2,Seafood Product Preparation and Packaging,Tier 1,Packaging / Component Supply
Plastics Bag and Pouch Manufacturing ,Tier 2,Other Snack Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Bag and Pouch Manufacturing ,Tier 2,Perishable Prepared Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Bag and Pouch Manufacturing ,Tier 2,All Other Miscellaneous Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Bag and Pouch Manufacturing ,Tier 2,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",Tier 1,Packaging / Component Supply
Plastics Bag and Pouch Manufacturing ,Tier 2,Automobile and Light Duty Motor Vehicle Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Tier 2,Dog and Cat Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Tier 2,Other Animal Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Tier 2,Frozen Specialty Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Tier 2,Dried and Dehydrated Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Tier 2,Seafood Product Preparation and Packaging,Tier 1,Packaging / Component Supply
Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Tier 2,Other Snack Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Tier 2,Perishable Prepared Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Tier 2,All Other Miscellaneous Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Tier 2,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",Tier 1,Packaging / Component Supply
Plastics Packaging Film and Sheet (including Laminated) Manufacturing ,Tier 2,Automobile and Light Duty Motor Vehicle Manufacturing ,Tier 1,Packaging / Component Supply
Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Tier 2,Dog and Cat Food Manufacturing ,Tier 1,Packaging / Component Supply
Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Tier 2,Other Animal Food Manufacturing ,Tier 1,Packaging / Component Supply
Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Tier 2,Frozen Specialty Food Manufacturing ,Tier 1,Packaging / Component Supply
Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Tier 2,Dried and Dehydrated Food Manufacturing ,Tier 1,Packaging / Component Supply
Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Tier 2,Seafood Product Preparation and Packaging,Tier 1,Packaging / Component Supply
Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Tier 2,Other Snack Food Manufacturing ,Tier 1,Packaging / Component Supply
Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Tier 2,Perishable Prepared Food Manufacturing ,Tier 1,Packaging / Component Supply
Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Tier 2,All Other Miscellaneous Food Manufacturing ,Tier 1,Packaging / Component Supply
Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Tier 2,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",Tier 1,Packaging / Component Supply
Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing ,Tier 2,Automobile and Light Duty Motor Vehicle Manufacturing ,Tier 1,Packaging / Component Supply
Unlaminated Plastics Profile Shape Manufacturing ,Tier 2,Dog and Cat Food Manufacturing ,Tier 1,Packaging / Component Supply
Unlaminated Plastics Profile Shape Manufacturing ,Tier 2,Other Animal Food Manufacturing ,Tier 1,Packaging / Component Supply
Unlaminated Plastics Profile Shape Manufacturing ,Tier 2,Frozen Specialty Food Manufacturing ,Tier 1,Packaging / Component Supply
Unlaminated Plastics Profile Shape Manufacturing ,Tier 2,Dried and Dehydrated Food Manufacturing ,Tier 1,Packaging / Component Supply
Unlaminated Plastics Profile Shape Manufacturing ,Tier 2,Seafood Product Preparation and Packaging,Tier 1,Packaging / Component Supply
Unlaminated Plastics Profile Shape Manufacturing ,Tier 2,Other Snack Food Manufacturing ,Tier 1,Packaging / Component Supply
Unlaminated Plastics Profile Shape Manufacturing ,Tier 2,Perishable Prepared Food Manufacturing ,Tier 1,Packaging / Component Supply
Unlaminated Plastics Profile Shape Manufacturing ,Tier 2,All Other Miscellaneous Food Manufacturing ,Tier 1,Packaging / Component Supply
Unlaminated Plastics Profile Shape Manufacturing ,Tier 2,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",Tier 1,Packaging / Component Supply
Unlaminated Plastics Profile Shape Manufacturing ,Tier 2,Automobile and Light Duty Motor Vehicle Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Pipe and Pipe Fitting Manufacturing ,Tier 2,Dog and Cat Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Pipe and Pipe Fitting Manufacturing ,Tier 2,Other Animal Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Pipe and Pipe Fitting Manufacturing ,Tier 2,Frozen Specialty Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Pipe and Pipe Fitting Manufacturing ,Tier 2,Dried and Dehydrated Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Pipe and Pipe Fitting Manufacturing ,Tier 2,Seafood Product Preparation and Packaging,Tier 1,Packaging / Component Supply
Plastics Pipe and Pipe Fitting Manufacturing ,Tier 2,Other Snack Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Pipe and Pipe Fitting Manufacturing ,Tier 2,Perishable Prepared Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Pipe and Pipe Fitting Manufacturing ,Tier 2,All Other Miscellaneous Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Pipe and Pipe Fitting Manufacturing ,Tier 2,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",Tier 1,Packaging / Component Supply
Plastics Pipe and Pipe Fitting Manufacturing ,Tier 2,Automobile and Light Duty Motor Vehicle Manufacturing ,Tier 1,Packaging / Component Supply
"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Tier 2,Dog and Cat Food Manufacturing ,Tier 1,Packaging / Component Supply
"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Tier 2,Other Animal Food Manufacturing ,Tier 1,Packaging / Component Supply
"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Tier 2,Frozen Specialty Food Manufacturing ,Tier 1,Packaging / Component Supply
"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Tier 2,Dried and Dehydrated Food Manufacturing ,Tier 1,Packaging / Component Supply
"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Tier 2,Seafood Product Preparation and Packaging,Tier 1,Packaging / Component Supply
"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Tier 2,Other Snack Food Manufacturing ,Tier 1,Packaging / Component Supply
"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Tier 2,Perishable Prepared Food Manufacturing ,Tier 1,Packaging / Component Supply
"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Tier 2,All Other Miscellaneous Food Manufacturing ,Tier 1,Packaging / Component Supply
"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Tier 2,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",Tier 1,Packaging / Component Supply
"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Tier 2,Automobile and Light Duty Motor Vehicle Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Bottle Manufacturing,Tier 2,Dog and Cat Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Bottle Manufacturing,Tier 2,Other Animal Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Bottle Manufacturing,Tier 2,Frozen Specialty Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Bottle Manufacturing,Tier 2,Dried and Dehydrated Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Bottle Manufacturing,Tier 2,Seafood Product Preparation and Packaging,Tier 1,Packaging / Component Supply
Plastics Bottle Manufacturing,Tier 2,Other Snack Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Bottle Manufacturing,Tier 2,Perishable Prepared Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Bottle Manufacturing,Tier 2,All Other Miscellaneous Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Bottle Manufacturing,Tier 2,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",Tier 1,Packaging / Component Supply
Plastics Bottle Manufacturing,Tier 2,Automobile and Light Duty Motor Vehicle Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Plumbing Fixture Manufacturing ,Tier 2,Dog and Cat Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Plumbing Fixture Manufacturing ,Tier 2,Other Animal Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Plumbing Fixture Manufacturing ,Tier 2,Frozen Specialty Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Plumbing Fixture Manufacturing ,Tier 2,Dried and Dehydrated Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Plumbing Fixture Manufacturing ,Tier 2,Seafood Product Preparation and Packaging,Tier 1,Packaging / Component Supply
Plastics Plumbing Fixture Manufacturing ,Tier 2,Other Snack Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Plumbing Fixture Manufacturing ,Tier 2,Perishable Prepared Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Plumbing Fixture Manufacturing ,Tier 2,All Other Miscellaneous Food Manufacturing ,Tier 1,Packaging / Component Supply
Plastics Plumbing Fixture Manufacturing ,Tier 2,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",Tier 1,Packaging / Component Supply
Plastics Plumbing Fixture Manufacturing ,Tier 2,Automobile and Light Duty Motor Vehicle Manufacturing ,Tier 1,Packaging / Component Supply
All Other Plastics Product Manufacturing ,Tier 2,Dog and Cat Food Manufacturing ,Tier 1,Packaging / Component Supply
All Other Plastics Product Manufacturing ,Tier 2,Other Animal Food Manufacturing ,Tier 1,Packaging / Component Supply
All Other Plastics Product Manufacturing ,Tier 2,Frozen Specialty Food Manufacturing ,Tier 1,Packaging / Component Supply
All Other Plastics Product Manufacturing ,Tier 2,Dried and Dehydrated Food Manufacturing ,Tier 1,Packaging / Component Supply
All Other Plastics Product Manufacturing ,Tier 2,Seafood Product Preparation and Packaging,Tier 1,Packaging / Component Supply
All Other Plastics Product Manufacturing ,Tier 2,Other Snack Food Manufacturing ,Tier 1,Packaging / Component Supply
All Other Plastics Product Manufacturing ,Tier 2,Perishable Prepared Food Manufacturing ,Tier 1,Packaging / Component Supply
All Other Plastics Product Manufacturing ,Tier 2,All Other Miscellaneous Food Manufacturing ,Tier 1,Packaging / Component Supply
All Other Plastics Product Manufacturing ,Tier 2,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",Tier 1,Packaging / Component Supply
All Other Plastics Product Manufacturing ,Tier 2,Automobile and Light Duty Motor Vehicle Manufacturing ,Tier 1,Packaging / Component Supply
Rubber and Plastics Hoses and Belting Manufacturing,Tier 2,Dog and Cat Food Manufacturing ,Tier 1,Packaging / Component Supply
Rubber and Plastics Hoses and Belting Manufacturing,Tier 2,Other Animal Food Manufacturing ,Tier 1,Packaging / Component Supply
Rubber and Plastics Hoses and Belting Manufacturing,Tier 2,Frozen Specialty Food Manufacturing ,Tier 1,Packaging / Component Supply
Rubber and Plastics Hoses and Belting Manufacturing,Tier 2,Dried and Dehydrated Food Manufacturing ,Tier 1,Packaging / Component Supply
Rubber and Plastics Hoses and Belting Manufacturing,Tier 2,Seafood Product Preparation and Packaging,Tier 1,Packaging / Component Supply
Rubber and Plastics Hoses and Belting Manufacturing,Tier 2,Other Snack Food Manufacturing ,Tier 1,Packaging / Component Supply
Rubber and Plastics Hoses and Belting Manufacturing,Tier 2,Perishable Prepared Food Manufacturing ,Tier 1,Packaging / Component Supply
